"variable","model","gen","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"mean","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"3.2","2.9","3.5"
"mean","indep","Intrinsic",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"3.2","2.9","3.5"
"mean","indep","Intrinsic",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"3.5","2.6","4.5"
"mean","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.9","2.7","3.1"
"mean","indep","Realized",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"2.9","2.7","3.1"
"mean","indep","Realized",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"2.9","2.5","3.5"
"mean","mech","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"3.2","2.9","3.6"
"mean","mech","Intrinsic",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"3.2","2.9","3.6"
"mean","mech","Intrinsic",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"3.2","2.3","4.5"
"mean","mech","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.8","2.7","3.0"
"mean","mech","Realized",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"2.8","2.6","3.0"
"mean","mech","Realized",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"2.7","2.4","3.1"
"sd","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"1.6","1.2","2.0"
"sd","indep","Intrinsic",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"1.5","1.2","2.0"
"sd","indep","Intrinsic",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"2.5","1.4","4.7"
"sd","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"1.3","1.2","1.5"
"sd","indep","Realized",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"1.3","1.1","1.5"
"sd","indep","Realized",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"1.7","1.4","2.2"
"sd","mech","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.1","1.8","2.5"
"sd","mech","Intrinsic",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"2.1","1.8","2.5"
"sd","mech","Intrinsic",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"2.8","1.9","4.2"
"sd","mech","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"1.6","1.5","1.8"
"sd","mech","Realized",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"1.6","1.5","1.8"
"sd","mech","Realized",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"1.8","1.6","2.4"
"presymp","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.1","0.1","0.2"
"presymp","indep","Intrinsic",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"0.1","0.1","0.2"
"presymp","indep","Intrinsic",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"0.0","0.0","0.1"
"presymp","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.2","0.1","0.2"
"presymp","indep","Realized",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"0.2","0.1","0.2"
"presymp","indep","Realized",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"0.0","0.0","0.1"
"presymp","mech","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.2","0.1","0.3"
"presymp","mech","Intrinsic",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"0.2","0.1","0.2"
"presymp","mech","Intrinsic",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"0.1","0.0","0.2"
"presymp","mech","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"0.2","0.1","0.3"
"presymp","mech","Realized",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"0.2","0.1","0.3"
"presymp","mech","Realized",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"0.1","0.0","0.2"
"beta","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"2.0","1.8","2.2"
"beta","indep","Intrinsic",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"2.1","1.8","2.3"
"beta","indep","Intrinsic",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"1.7","1.2","2.2"
"beta","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"NaN","NA","NA"
"beta","indep","Realized",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"NaN","NA","NA"
"beta","indep","Realized",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"NaN","NA","NA"
"beta","mech","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"1.9","1.7","2.2"
"beta","mech","Intrinsic",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"2.0","1.8","2.3"
"beta","mech","Intrinsic",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"1.6","1.2","2.2"
"beta","mech","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"NaN","NA","NA"
"beta","mech","Realized",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"NaN","NA","NA"
"beta","mech","Realized",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"NaN","NA","NA"
"ll_vec","indep","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"-1496.0","-1536.1","-1458.2"
"ll_vec","indep","Intrinsic",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"-1280.3","-1316.8","-1244.1"
"ll_vec","indep","Intrinsic",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"-181.7","-196.5","-168.3"
"ll_vec","indep","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"NaN","NA","NA"
"ll_vec","indep","Realized",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"NaN","NA","NA"
"ll_vec","indep","Realized",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"NaN","NA","NA"
"ll_vec","mech","Intrinsic",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"-1579.1","-1623.0","-1535.6"
"ll_vec","mech","Intrinsic",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"-1352.7","-1393.5","-1313.5"
"ll_vec","mech","Intrinsic",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"-182.7","-198.9","-169.0"
"ll_vec","mech","Realized",1,"flu","Two",FALSE,"1p","Both",1.55,0.66,0.57,"NaN","NA","NA"
"ll_vec","mech","Realized",7,"flu","Two",FALSE,"1p","A",1.55,0.66,0.57,"NaN","NA","NA"
"ll_vec","mech","Realized",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"NaN","NA","NA"
