"variable","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"alpha",8,"flu","Two",FALSE,"1p","B",1.55,0.66,0.57,"1.20","0.25","3.54"
"alpha",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"0.99","0.20","2.98"
"alpha",16,"flu","Two",FALSE,"1p","B",4.3,1.25,0.57,"2.00","0.45","5.86"
"alpha",17,"flu","Two",FALSE,"1p","B",5.8,3.1,0.57,"3.19","0.68","9.60"
"presymp",8,"flu","Two",FALSE,"1p","B",1.55,0.66,0.57,"0.23","0.06","0.45"
"presymp",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"0.08","0.01","0.20"
"presymp",16,"flu","Two",FALSE,"1p","B",4.3,1.25,0.57,"0.74","0.52","0.91"
"presymp",17,"flu","Two",FALSE,"1p","B",5.8,3.1,0.57,"0.87","0.70","0.97"
"p_E",8,"flu","Two",FALSE,"1p","B",1.55,0.66,0.57,"0.52","0.13","0.88"
"p_E",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"0.56","0.14","0.91"
"p_E",16,"flu","Two",FALSE,"1p","B",4.3,1.25,0.57,"0.28","0.06","0.57"
"p_E",17,"flu","Two",FALSE,"1p","B",5.8,3.1,0.57,"0.25","0.05","0.55"
"period_E",8,"flu","Two",FALSE,"1p","B",1.55,0.66,0.57,"0.80","0.20","1.37"
"period_E",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"0.34","0.08","0.56"
"period_E",16,"flu","Two",FALSE,"1p","B",4.3,1.25,0.57,"1.21","0.26","2.44"
"period_E",17,"flu","Two",FALSE,"1p","B",5.8,3.1,0.57,"1.45","0.28","3.21"
"period_P",8,"flu","Two",FALSE,"1p","B",1.55,0.66,0.57,"0.75","0.18","1.35"
"period_P",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"0.27","0.05","0.53"
"period_P",16,"flu","Two",FALSE,"1p","B",4.3,1.25,0.57,"3.09","1.86","4.04"
"period_P",17,"flu","Two",FALSE,"1p","B",5.8,3.1,0.57,"4.35","2.59","5.52"
"mu_inv",8,"flu","Two",FALSE,"1p","B",1.55,0.66,0.57,"2.42","1.49","3.78"
"mu_inv",15,"flu","Two",FALSE,"1p","B",0.61,0.25,0.57,"2.83","1.87","4.18"
"mu_inv",16,"flu","Two",FALSE,"1p","B",4.3,1.25,0.57,"1.74","0.65","3.70"
"mu_inv",17,"flu","Two",FALSE,"1p","B",5.8,3.1,0.57,"1.68","0.47","4.13"
